source,license,type,path,expected_label,expected_detail_file,standard_clause,frame_rate,color_space,dynamic_range,resolution,codec,generation_params,provenance_commit,notes
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f001c037.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f001c037.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f001f037.mp4,FAIL,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f001f037.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=FAIL
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f002c033.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f002c033.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f002c037.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f002c037.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f003c038.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f003c038.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f003f033.mp4,FAIL,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f003f033.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=FAIL
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f004c032.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f004c032.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f004c034.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f004c034.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f005c031.mp4,PASS,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f005c031.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=count
TRACE/pse-test-media,BSD-3-Clause,video,corpus/generated/pse-test-media/30fps_alternating_01/f005f034.mp4,FAIL,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/30fps_alternating_01.csv,general flash counting / 3-flashes-per-second; per applicable standards [applies: iso9241-391;itu-r-bt.1702;ofcom-gn2-annex1;trace24;wcag2.2-sc2.3.1],30,sRGB,SDR,,,corpus/sources/pse-test-media/video_creation/30fps_alternating_01/f005f034.json,edf799a15cc1a8817a58c0120a7b25b2b28a1932,set=30fps_alternating_01; flash_type=Luminance; upstream_limiting_dimension=FAIL
